Potential (V),Current (A),,
1.224188209,0.0001084,,
1.219142437,0.000105753,,
1.214096665,0.000103202,,
1.209180236,0.000100665,,
1.204005003,9.82E-05,,
1.198959231,9.58E-05,,
1.194172263,9.33E-05,,
1.188738227,9.09E-05,,
1.184210062,8.87E-05,,
1.179164171,8.64E-05,,
1.173989058,8.42E-05,,
1.169072628,8.19E-05,,
1.164156199,7.97E-05,,
1.158980966,7.75E-05,,
1.153935194,7.54E-05,,
1.14876008,7.33E-05,,
1.144102335,7.13E-05,,
1.139056563,6.93E-05,,
1.134010792,6.74E-05,,
1.129223704,6.54E-05,,
1.124177933,6.35E-05,,
1.119132161,6.16E-05,,
1.114345074,5.97E-05,,
1.108911157,5.79E-05,,
1.104253531,5.61E-05,,
1.099078298,5.43E-05,,
1.093903184,5.26E-05,,
1.089116096,5.09E-05,,
1.084070325,4.92E-05,,
1.079153895,4.76E-05,,
1.074237466,4.58E-05,,
1.069191694,4.43E-05,,
1.064145923,4.27E-05,,
1.059229493,4.12E-05,,
1.054183722,3.95E-05,,
1.049267292,3.80E-05,,
1.044350863,3.66E-05,,
1.038916945,3.52E-05,,
1.034129858,3.37E-05,,
1.029084086,3.22E-05,,
1.024296999,3.09E-05,,
1.019380569,2.96E-05,,
1.014334798,2.82E-05,,
1.009418368,2.69E-05,,
1.004372597,2.56E-05,,
0.999197423,2.43E-05,,
0.994410396,2.30E-05,,
0.988976479,2.17E-05,,
0.984448195,2.05E-05,,
0.979273021,1.93E-05,,
0.97422719,1.82E-05,,
0.96931076,1.70E-05,,
0.964264989,1.58E-05,,
0.959089816,1.46E-05,,
0.954173386,1.35E-05,,
0.948998213,1.24E-05,,
0.944340587,1.13E-05,,
0.939294755,1.02E-05,,
0.934248984,9.05E-06,,
0.929203153,7.97E-06,,
0.924157381,6.95E-06,,
0.919240952,5.85E-06,,
0.914324522,4.74E-06,,
0.909149349,3.69E-06,,
0.904232919,2.54E-06,,
0.899057746,1.48E-06,,
0.894141316,4.41E-07,,
0.889095545,-6.49E-07,,
0.884179115,-1.68E-06,,
0.879003942,-2.82E-06,,
0.87395817,-3.96E-06,,
0.868912339,-5.00E-06,,
0.864125311,-6.19E-06,,
0.85907954,-7.26E-06,,
0.853774965,-8.57E-06,,
0.848987937,-9.73E-06,,
0.843942106,-1.10E-05,,
0.839025736,-1.22E-05,,
0.834109306,-1.35E-05,,
0.82867533,-1.49E-05,,
0.823888302,-1.64E-05,,
0.818971932,-1.77E-05,,
0.814055502,-1.93E-05,,
0.808880329,-2.08E-05,,
0.803834498,-2.24E-05,,
0.79904747,-2.40E-05,,
0.794131041,-2.57E-05,,
0.789085269,-2.75E-05,,
0.784039438,-2.94E-05,,
0.779381812,-3.13E-05,,
0.774077237,-3.34E-05,,
0.768902063,-3.55E-05,,
0.764373779,-3.78E-05,,
0.758551717,-4.01E-05,,
0.753894031,-4.26E-05,,
0.748977661,-4.50E-05,,
0.74393183,-4.77E-05,,
0.738886058,-5.04E-05,,
0.733969629,-5.32E-05,,
0.729053199,-5.61E-05,,
0.723748624,-5.92E-05,,
0.718832254,-6.23E-05,,
0.713915825,-6.56E-05,,
0.708999395,-6.91E-05,,
0.70369482,-7.26E-05,,
0.699037194,-7.63E-05,,
0.693991363,-8.02E-05,,
0.688686848,-8.42E-05,,
0.684158564,-8.83E-05,,
0.678853989,-9.25E-05,,
0.674066961,-9.68E-05,,
0.669279933,-0.000101383,,
0.663845956,-0.000106076,,
0.658800185,-0.000110925,,
0.653754413,-0.000115805,,
0.649096727,-0.0001209,,
0.643792152,-0.000126273,,
0.638746381,-0.0001316,,
0.633829951,-0.000137109,,
0.62878418,-0.00014285,,
0.623738348,-0.000148696,,
0.618821919,-0.00015469,,
0.613905549,-0.000160755,,
0.608730376,-0.000166982,,
0.603943288,-0.000173423,,
0.599026918,-0.000179819,,
0.594110489,-0.00018637,,
0.589323461,-0.000193115,,
0.584148228,-0.000200002,,
0.5793612,-0.000207155,,
0.574056685,-0.000223858,,
0.569140255,-0.000231363,,
0.563965082,-0.000238548,,
0.558789909,-0.000246052,,
0.553873479,-0.000253717,,
0.54895705,-0.00026154,,
0.54404062,-0.000269684,,
0.538865447,-0.000277827,,
0.534207821,-0.000285491,,
0.52916199,-0.000294113,,
0.52424556,-0.000302097,,
0.519199789,-0.000310559,,
0.514024615,-0.000319182,,
0.508978844,-0.000327484,,
0.504191756,-0.000335628,,
0.499145985,-0.000345048,,
0.493970811,-0.00035367,,
0.489183754,-0.000362133,,
0.484396726,-0.000371234,,
0.478962779,-0.000379856,,
0.473916978,-0.000389277,,
0.468612432,-0.000398698,,
0.46421352,-0.000407479,,
0.459167749,-0.000416261,,
0.453863174,-0.000425682,,
0.449076146,-0.000434624,,
0.443771601,-0.000443884,,
0.438855171,-0.000452666,,
0.433550626,-0.000461768,,
0.429022342,-0.00047039,,
0.423847169,-0.000479651,,
0.418930739,-0.000488752,,
0.41401431,-0.000498332,,
0.408968508,-0.000506795,,
0.403793335,-0.000515417,,
0.398359418,-0.000524358,,
0.393701762,-0.0005333,,
0.388655961,-0.000541763,,
0.384257048,-0.000550704,,
0.379340649,-0.000558368,,
0.374294847,-0.000566991,,
0.369249046,-0.000576092,,
0.364203244,-0.000583916,,
0.359028071,-0.000592378,,
0.35398227,-0.00060132,,
0.349324614,-0.000609623,,
0.344149441,-0.000617447,,
0.339233011,-0.000625749,,
0.334316611,-0.000633254,,
0.329141408,-0.000640918,,
0.324225008,-0.000648263,,
0.319308579,-0.000656406,,
0.314392179,-0.000663591,,
0.309216976,-0.000670617,,
0.304300576,-0.000678281,,
0.29964292,-0.000684987,,
0.294726491,-0.000692172,,
0.289551318,-0.000698559,,
0.284505516,-0.000705106,,
0.279589117,-0.000711812,,
0.274413913,-0.000718199,,
0.269626886,-0.000724905,,
0.264839858,-0.000730813,,
0.259535283,-0.000736721,,
0.254489481,-0.000742628,,
0.249573082,-0.000748856,,
0.244656667,-0.000754284,,
0.239481479,-0.000760033,,
0.234435692,-0.000766579,,
0.229389891,-0.000772168,,
0.22434409,-0.000777756,,
0.219427675,-0.000782865,,
0.214381874,-0.000788454,,
0.209465459,-0.000793244,,
0.204678416,-0.000798673,,
0.199373856,-0.000802505,,
0.19432807,-0.000807135,,
0.189282268,-0.000811127,,
0.184495226,-0.000815119,,
0.179449439,-0.000819111,,
0.174274251,-0.000823262,,
0.169357836,-0.000826296,,
0.164570794,-0.00082933,,
0.159525007,-0.000833162,,
0.154737964,-0.000835557,,
0.149174646,-0.000839549,,
0.14451699,-0.000842103,,
0.139341816,-0.000844818,,
0.134554774,-0.000847053,,
0.129767731,-0.000849608,,
0.124592558,-0.000852163,,
0.119417384,-0.000854398,,
0.114630342,-0.000855995,,
0.109584548,-0.00085823,,
0.104409367,-0.000859827,,
0.10001047,-0.000861423,,
0.094835289,-0.000862701,,
0.089401357,-0.000863978,,
0.084484942,-0.000865415,,
0.0796979,-0.000866533,,
0.074910864,-0.000867172,,
0.069865063,-0.000867651,,
0.06468989,-0.000868449,,
0.06003223,-0.000868768,,
0.054857053,-0.000869407,,
0.049811255,-0.000869886,,
0.044765458,-0.000869726,,
0.039590281,-0.000869247,,
0.034673862,-0.000869567,,
0.030016202,-0.000868768,,
0.024970407,-0.00086813,,
0.01979523,-0.000867172,,
0.014878811,-0.000866693,,
0.009833014,-0.000865256,,
0.004787216,-0.000864298,,
0.000258937,-0.000862701,,
-0.004657481,-0.000860785,,
-0.009315141,-0.000859188,,
-0.014360937,-0.000857272,,
-0.019794874,-0.000854877,,
-0.024452532,-0.000853121,,
-0.029627709,-0.000850885,,
-0.034673505,-0.000848171,,
-0.039589923,-0.000845297,,
-0.044506341,-0.000843061,,
-0.049681518,-0.000839708,,
-0.054597937,-0.000836515,,
-0.059514355,-0.0008338,,
-0.064560153,-0.000830128,,
-0.069217809,-0.000826615,,
-0.074651748,-0.000823102,,
-0.079697542,-0.000819749,,
-0.084613964,-0.000815758,,
-0.089789137,-0.000811766,,
-0.094317421,-0.000807455,,
-0.099233836,-0.000803303,,
-0.104538396,-0.000798354,,
-0.10958419,-0.000794202,,
-0.114759363,-0.000789572,,
-0.119546406,-0.000784143,,
-0.124462821,-0.000779512,,
-0.129120484,-0.000774243,,
-0.134425044,-0.000769293,,
-0.139212072,-0.000764344,,
-0.144257873,-0.000759075,,
-0.149433047,-0.000753486,,
-0.154478848,-0.000748536,,
-0.159524649,-0.000742628,,
-0.164699823,-0.000736721,,
-0.169357479,-0.000731771,,
-0.174532652,-0.000725544,,
-0.179060936,-0.000719955,,
-0.184624255,-0.000714207,,
-0.189540669,-0.000708299,,
-0.194586471,-0.000702391,,
-0.199373513,-0.000696005,,
-0.204807445,-0.000690416,,
-0.209594488,-0.000684508,,
-0.214381516,-0.000678121,,
-0.219556689,-0.000672054,,
-0.224473119,-0.000665348,,
-0.229648292,-0.0006596,,
-0.234823465,-0.000653692,,
-0.239351749,-0.000646986,,
-0.244656309,-0.000641237,,
-0.249443337,-0.00063517,,
-0.254747897,-0.000629103,,
-0.259664327,-0.000622556,,
-0.264580727,-0.000616648,,
-0.269497156,-0.000610102,,
-0.274284184,-0.000604194,,
-0.279329985,-0.000598286,,
-0.284246415,-0.000592219,,
-0.289421588,-0.000586311,,
-0.294337988,-0.000579924,,
-0.299513191,-0.000574495,,
-0.304558963,-0.000568428,,
-0.309475392,-0.000563158,,
-0.314650565,-0.000556931,,
-0.319178849,-0.000551503,,
-0.324354023,-0.000545435,,
-0.329399824,-0.000540485,,
-0.334316254,-0.000534258,,
-0.33897391,-0.00052867,,
-0.344019711,-0.000523241,,
-0.349194884,-0.000517972,,
-0.354240686,-0.000512543,,
-0.359286457,-0.000507433,,
-0.363814741,-0.000502164,,
-0.36937806,-0.000497534,,
-0.374035716,-0.000491945,,
-0.379210889,-0.000487155,,
-0.384256691,-0.000482525,,
-0.388914347,-0.000477415,,
-0.39408952,-0.000472945,,
-0.399135321,-0.000468314,,
-0.404181123,-0.000463843,,
-0.409356296,-0.000460011,,
-0.414272726,-0.000455061,,
-0.41880101,-0.000451229,,
-0.424234927,-0.000446759,,
-0.429539502,-0.000442926,,
-0.434197158,-0.000438615,,
-0.439242959,-0.000434624,,
-0.444029987,-0.000430312,,
-0.44920516,-0.0004268,,
-0.45412159,-0.000423127,,
-0.459167391,-0.000419614,,
-0.464083791,-0.000415942,,
-0.469129592,-0.000412749,,
-0.474046022,-0.000408597,,
